TRKRN Water,TRACKER Water,NORTHWEST Water,SOUTHWEST Water,LGOR Water,HGOR Water,B3 LGOR Water,B1 LGOR Water,B3 MGOR Water,B1 MGOR Water,B3 HGOR Water,B1 HGOR Water,NEW A1 LGOR Water,NEW C1 LGOR Water,NEW B1 LGOR Water,NEW B3 LGOR Water,NEW GENERIC Water,GANADOR Water,MUNSON Water,DISCOVERY Water,PDP Water,NEW B3 LGOR Risk90 Water,NEW B3 LGOR Risk80 Water,NEW B3 LGOR Risk70 Water,NEW B3 LGOR Risk90_8750 Water,NEW B3 LGOR_10k Water,ESTE Water,TRACKER-N-ORIG Water,TRACKER-S-ORIG Water,MUNSON-8750 Water,MUNSON-10k Water
1.409126892,1.248914927,1.448191833,1.049638021,0.887741466,0.709946545,0.820111851,0.944980702,0.836716648,0.461110612,0.749304752,0.274462755,1.06291739,1.06291739,1.06291739,1.113509757,1.088213574,1.113509757,1.129149707,1.448191833,0,1.002158781,0.890807806,0.77945683,1.169185245,1.484679676,4.274195904,1.410490234,1.410490234,1.235007492,0.853652699
1.383218994,1.228517136,1.424392259,1.032642014,0.871662579,0.696045275,0.805033455,0.927651188,0.821294039,0.452590165,0.735459044,0.26937884,1.03725656,1.03725656,1.03725656,1.098278986,1.067767773,1.098278986,1.114127637,1.424392259,0,0.988451088,0.878623189,0.76879529,1.153192936,1.464371982,4.200097888,1.38712439,1.38712439,1.218577103,0.842295808
1.35824646,1.20881791,1.401412685,1.016223135,0.856155782,0.682635224,0.79049944,0.910945803,0.806429665,0.444378882,0.722115683,0.264479848,1.012374818,1.012374818,1.012374818,1.083526745,1.047950782,1.083526745,1.09955752,1.401412685,0,0.975174071,0.866821396,0.758468722,1.137703083,1.444702327,4.128525493,1.364556885,1.364556885,1.202641037,0.831280599
1.334159648,1.189128514,1.378449281,0.999807747,0.841191057,0.669246452,0.776480915,0.894831394,0.792093688,0.436460185,0.709247849,0.259755835,0.987407471,0.987407471,0.987407471,1.068740041,1.028073756,1.068740041,1.085418359,1.378449281,0,0.961866037,0.854992033,0.748118029,1.122177043,1.424986722,4.059350714,1.342746826,1.342746826,1.187176331,0.8205912
1.31091217,1.170104285,1.356266186,0.983942385,0.826740402,0.656324222,0.762950883,0.879277174,0.778258518,0.428818771,0.696830499,0.255197592,0.963186145,0.963186145,0.963186145,1.054411797,1.008798971,1.054411797,1.07169043,1.356266186,0,0.948970617,0.843529438,0.738088258,1.107132387,1.405882396,3.992456029,1.321656128,1.321656128,1.172161407,0.810212696
1.288460897,1.151704882,1.334815853,0.968593911,0.812777884,0.6438397,0.749884242,0.86425437,0.764898343,0.421440312,0.684840485,0.250796567,0.939667572,0.939667572,0.939667572,1.040515512,0.990091542,1.040515512,1.058355469,1.334815853,0,0.936463961,0.83241241,0.728360858,1.092541288,1.387354016,3.927730469,1.30124939,1.30124939,1.157576294,0.800131282
1.266765645,1.133905927,1.314069488,0.953742365,0.799279053,0.631775313,0.737257606,0.849736281,0.751989066,0.414311428,0.673256077,0.24654475,0.916826219,0.916826219,0.916826219,1.027035565,0.971930892,1.027035565,1.045395996,1.314069488,0,0.924332009,0.821628452,0.718924896,1.078387343,1.369380754,3.865069619,1.281493286,1.281493286,1.143401871,0.790333743
1.245788879,1.116395559,1.293663258,0.939127859,0.786221233,0.619918773,0.725049128,0.835697805,0.73950825,0.407419715,0.662057029,0.242434683,0.894266825,0.894266825,0.894266825,1.013738234,0.95400253,1.013738234,1.032795898,1.293663258,0,0.912364411,0.810990587,0.709616764,1.064425146,1.351650979,3.804376491,1.262356689,1.262356689,1.129620514,0.780807896
1.225495504,1.099711316,1.274223243,0.925199388,0.773583229,0.608633045,0.713238383,0.822115673,0.727434935,0.400753511,0.651224455,0.238459409,0.872687908,0.872687908,0.872687908,1.00103455,0.936861229,1.00103455,1.020539648,1.274223243,0,0.900931095,0.80082764,0.700724185,1.051086277,1.334712733,3.745559776,1.243810547,1.243810547,1.11621524,0.771542002
1.205852559,1.083544983,1.255389929,0.911700037,0.761345031,0.597708505,0.70180619,0.808967922,0.715749466,0.394301892,0.640740593,0.234612371,0.851697969,0.851697969,0.851697969,0.98869307,0.92019552,0.98869307,1.008612793,1.255389929,0,0.889823763,0.790954456,0.692085149,1.038127723,1.318257426,3.688534282,1.225827637,1.225827637,1.103170242,0.762525136
1.186829427,1.067867209,1.237128787,0.898605631,0.749487989,0.587124335,0.690734727,0.796234067,0.70443349,0.388054734,0.630588925,0.230887486,0.831265126,0.831265126,0.831265126,0.976694204,0.903979665,0.976694204,0.997001855,1.237128787,0,0.879024784,0.781355363,0.683685943,1.025528914,1.302258939,3.63321875,1.20838208,1.20838208,1.090470779,0.753747107
1.168397013,1.052660851,1.219419604,0.885902099,0.737994578,0.576868272,0.680007062,0.783894808,0.693469719,0.382002388,0.62075388,0.227279025,0.811371267,0.811371267,0.811371267,0.965026821,0.888199044,0.965026821,0.98569375,1.219419604,0,0.868524139,0.772021457,0.675518775,1.013278162,1.286702428,3.579537598,1.191449829,1.191449829,1.078102539,0.745198024
