Date,gas_hsc_pct,gas_waha_pct,gas_all_pct,oil_midland_pct,oil_houston_pct,oil_all_pct,ngl_ethane_pct,ngl_propane_pct,ngl_n_butane_pct,ngl_iso_butane_pct,ngl_nat_gasoline_pct,ngl_all_pct
55153,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55184,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55212,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55243,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55273,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55304,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55334,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55365,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55396,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55426,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55457,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55487,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55518,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55549,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55578,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55609,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55639,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55670,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55700,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55731,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55762,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55792,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55823,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55853,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55884,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55915,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55943,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55974,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56004,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56035,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56065,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56096,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56127,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56157,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56188,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56218,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56249,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56280,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56308,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56339,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56369,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
56400,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
